real_time,TIME_SINCE_MARK,CURRENT_STAGE,ALTITUDE_ASL,DOWN_RANGE,SPEED_SURFACE,SPEED_ORBITAL,MASS,ACCELERATION,Q,AO_A,AO_S,AO_D,ALTITUDE_TRUE,PITCH,GRAVITY_LOSSES,DRAG_LOSSES,STEERING_LOSSES,DELTA_V_EXPENDED
13.81349206,12.77998781,9,376.1861141,5.655626458,36.92209626,440.0863577,552.979421,1.331215843,859.6483574,0.697970128,0.828930288,1.083441779,280.4696336,89.94450073,5.770978954,0.00164161,154.3414775,161.9334878
14.04761905,12.9999876,9,384.8894975,5.808923242,37.64350541,440.153842,552.4413122,1.332660395,890.950601,0.697464228,0.806709245,1.066251943,289.1081413,89.94820557,5.966497077,0.001750538,156.9584276,164.8077683
14.28174603,13.21998739,9,393.7520503,5.962057648,38.36841676,440.2236017,551.9032797,1.334203004,922.939269,0.69334913,0.784334517,1.04667272,297.9055072,89.95678711,6.165540489,0.001859515,159.5729041,167.6848722
14.51587302,13.43998718,9,402.7744107,6.117252262,39.09573683,440.2961099,551.3653845,1.335308288,955.5684602,0.686998573,0.763389949,1.026855104,306.8624379,89.96800842,6.368118592,0.00196855,162.1837745,170.5637439
14.75,13.65998697,9,411.9571195,6.272917611,39.82635106,440.3717601,550.8273138,1.336741823,988.8542258,0.680092451,0.745122531,1.008611514,315.9794782,89.98899841,6.574244179,0.002077651,164.7933154,173.4470002
14.98412698,13.87998676,9,421.3010106,6.432523244,40.56062332,440.450593,550.2892279,1.338588411,1022.846045,0.674328561,0.730308266,0.993821423,325.2573517,89.99604492,6.783932602,0.002186828,167.4009086,176.3339709
15.21825397,14.09998655,9,430.8069021,6.592366152,41.29863535,440.5323814,549.7511343,1.340176151,1057.552682,0.671170329,0.718945659,0.983333259,334.6968807,90,6.997199351,0.002296089,170.0060699,179.2240402
15.45238095,14.31998634,9,440.4754944,6.754431291,42.03944954,440.6165179,549.213117,1.341457311,1092.932206,0.671519088,0.710550718,0.977567346,344.298837,89.99802246,7.214055615,0.002405439,172.6083301,182.116533
15.68650794,14.53998613,9,450.3073129,6.919213811,42.78255458,440.7023194,548.6750997,1.342787378,1128.952122,0.675761827,0.704274015,0.975824752,354.06382,89.99126892,7.434510479,0.002514879,175.208621,185.0122862
15.92063492,14.75998592,9,460.3031368,7.087795849,43.53007981,440.7893808,548.1370443,1.344446827,1165.721295,0.683515015,0.698805313,0.977347366,363.992454,89.99604492,7.658583164,0.00262441,177.8075541,187.9118008
16.1547619,14.97998571,9,470.4637549,7.256187463,44.28043667,440.8769566,547.598966,1.34602748,1203.179724,0.693802591,0.692893637,0.980325871,374.0855447,89.99324646,7.886286215,0.002734026,180.4048377,190.8146034
16.38888889,15.1999855,9,480.7897991,7.428042509,45.0337063,440.9646398,547.0610021,1.347245523,1241.332272,0.705318929,0.68570016,0.983613991,384.3438806,89.98682861,8.117632497,0.002873199,182.9995411,193.719556
16.62301587,15.41998529,9,491.281945,7.600754977,45.79018729,441.05232,546.5229391,1.348798562,1280.179481,0.71632568,0.676564302,0.985065434,394.7680149,89.97269287,8.352636139,0.003047853,185.5933992,196.6285987
16.85714286,15.63998508,9,501.9408797,7.774267723,46.54960424,441.1400452,545.9849676,1.350247152,1319.736884,0.725426909,0.665221067,0.983991842,405.3586628,89.96800842,8.59131048,0.003222621,188.1850429,199.5402754
17.09126984,15.85998487,9,512.7673382,7.949095258,47.31291614,441.2282589,545.4468969,1.351914823,1360.028416,0.731560598,0.65178358,0.97956596,416.1164971,89.96192932,8.833672333,0.003397496,190.7757816,202.4562146
17.32539683,16.07998466,9,523.7622452,8.124598076,48.08013668,441.3174533,544.9087728,1.353756303,1401.0889,0.734134006,0.636756774,0.971661963,427.0423643,89.96146545,9.079739193,0.003572475,193.3648679,205.3757882
17.55952381,16.29998446,9,534.9263802,8.300190441,48.85097443,441.4081514,544.3706259,1.355311106,1442.897563,0.733238849,0.621023319,0.960682556,438.1372135,89.96124573,9.329526218,0.003747557,195.9518658,208.2987285
17.79365079,16.51998425,9,546.2604141,8.476930058,49.62439376,441.5007878,543.8325781,1.35660709,1485.400831,0.72938977,0.605421616,0.947721043,449.4016729,89.97018738,9.583043425,0.003922746,198.5359957,211.2243617
18.02777778,16.73998404,9,557.7650192,8.655787941,50.40130069,441.595894,543.2944464,1.358328536,1528.645546,0.723648241,0.590775364,0.933931251,460.8364195,89.985672,9.840304732,0.004098048,201.1182771,214.1540133
18.26190476,16.95998383,9,569.4410191,8.83459538,51.1817733,441.6937311,542.7563833,1.359864261,1572.656355,0.717267009,0.577958774,0.920956958,472.4422555,89.98880615,10.10132435,0.004273469,203.6974808,217.0863929
18.49603175,17.17998362,9,581.2890661,9.015355012,51.9652773,441.7942674,542.2183279,1.361274655,1617.391978,0.71158372,0.567217787,0.90969278,484.2197702,89.99097595,10.36611362,0.004449016,206.2741178,220.0221072
18.73015873,17.39998341,9,593.3098474,9.196481835,52.75170691,441.8973329,541.6803182,1.362710739,1662.858068,0.707683758,0.558477552,0.901352879,496.1698901,89.99324646,10.63468363,0.004624697,208.847754,222.9606196
18.96428571,17.6199832,9,605.5040755,9.380837289,53.54199774,442.0027443,541.1422323,1.364326166,1709.093332,0.706290922,0.551091293,0.895713682,508.2930493,89.99802246,10.90704961,0.004800514,211.4196467,225.9032835
19.1984127,17.83998299,9,617.8725141,9.565408514,54.33495292,442.1099475,540.6042913,1.365741205,1756.067355,0.707593811,0.544450383,0.892628753,520.5901935,89.99324646,11.18322205,0.004976469,213.9881482,228.8480962
19.43253968,18.05998278,9,630.4158348,9.752955951,55.13185,442.2187,540.0662054,1.367435902,1803.809009,0.711356236,0.537840078,0.891641907,533.0618849,89.98962708,11.46321667,0.005195547,216.5555337,231.7975517
19.66666667,18.27998257,9,643.1349131,9.941951486,55.93224174,442.3286206,539.5281652,1.369081918,1852.343958,0.71680886,0.530528737,0.89159801,545.7088699,89.99604492,11.7470484,0.005450632,219.1204252,234.7499848
19.90079365,18.49998236,9,656.030447,10.13231409,56.73581876,442.4394405,538.990148,1.370516882,1901.631522,0.722900447,0.522040673,0.891510216,558.5323146,89.98682861,12.03473015,0.005705914,221.6831005,237.7056753
20.13492063,18.71998215,9,669.1031985,10.32353162,57.54281839,442.5511165,538.4520162,1.372333782,1951.687332,0.728794444,0.512263114,0.890653727,571.5324736,89.97582703,12.32627632,0.005961388,224.2444521,240.6656598
20.36904762,18.93998194,9,682.3540341,10.515986,58.35408105,442.6638252,537.9139532,1.373969513,2002.590353,0.7333064,0.501256727,0.888057105,584.7103449,89.98060303,12.62170492,0.006217047,226.8031819,243.6285162
20.6031746,19.15998173,9,695.783615,10.70918974,59.16764332,442.7774593,537.3759436,1.375323465,2054.198168,0.736112203,0.489397161,0.883727166,598.0666457,89.97496338,12.92102478,0.006472888,229.3594838,246.5945604
20.83730159,19.37998152,9,709.3927226,10.90227637,59.98575069,442.8926494,536.8377584,1.377276571,2106.645085,0.736682779,0.477139884,0.877459739,611.6022621,89.97225647,13.22425456,0.006728907,231.9146621,249.5654537
21.07142857,19.59998131,9,723.1823348,11.09728257,60.80782008,443.0096108,536.2996191,1.379110574,2159.93615,0.735220231,0.464894971,0.869709031,625.3179626,89.97881775,13.53141041,0.006985106,234.4672645,252.5396601
21.30555556,19.8199811,9,737.1532003,11.29211373,61.63322366,443.1285877,535.761495,1.380591696,2214.014971,0.732102469,0.45313831,0.860866137,639.2146188,89.98639221,13.84250522,0.007241485,237.0170834,255.5170743
21.53968254,20.03998089,9,751.3060678,11.48795562,62.46220334,443.2498253,535.223348,1.382263569,2268.886382,0.727988357,0.442197628,0.851633758,653.2929424,89.98205261,14.15755235,0.007498049,239.5646737,258.4984556
21.77380952,20.25998068,9,765.6418112,11.68552871,63.29515665,443.3735226,534.6850866,1.384233433,2324.594456,0.723666925,0.432377673,0.842672112,667.5537851,89.99160461,14.47656724,0.007754802,242.1102755,261.4841637
